FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
19073,131835.7487,509276.4107,0,Inf,232.5555556,1479.56,8,5,Inf
19075,262633.966,552487.5367,0,Inf,233.2727273,1405.77,7,4,Inf
19077,123978.5107,469765.7245,0,Inf,233.6363636,1526.77,8,5,Inf
19079,187209.6865,549339.2211,0,Inf,233.1111111,1466.79,7,4,Inf
19081,183465.7812,627231.2477,0,Inf,232.3333333,1485.51,7,4,Inf
19083,225138.5526,550302.4242,6,Inf,232.9,1487.2,7,4,Inf
19085,14993.35994,469487.6193,0,Inf,234.3846154,1819.94,8,5,Inf
19087,370641.6085,399165.2181,3,Inf,212,1037.79,8,5,Inf
19089,297032.2291,661513.2104,0,Inf,252.3333333,1225.72,7,4,Inf
19091,145833.0345,592316.645,0,Inf,227,1127.24,7,4,Inf
19093,39831.27118,547462.3834,0,Inf,231.8888889,1116.41,8,5,Inf
19095,325124.93,475757.4508,0,Inf,232.9166667,1520.85,8,5,Inf
19097,443955.11,536204.8969,87,5,240.5555556,1619.11,9,5,6
19099,243740.6793,472777.6086,0,Inf,228.0714286,1890.57,8,5,Inf
19101,337824.9581,402980.3488,0,Inf,215.4444444,1134.66,8,5,Inf
19103,364556.491,475891.1538,1,Inf,223.7692308,1606.68,8,5,Inf
19105,399655.789,527905.356,32,Inf,242.6666667,1494.4,8,5,Inf
19107,317277.7952,436247.5887,0,Inf,224.6,1502.53,8,5,Inf
19109,144960.3225,640044.8226,0,Inf,230.5,2524.46,7,4,Inf
19111,379080.1245,360869.0767,0,Inf,212,1405.74,10,7,Inf
19113,361586.3828,521339.2354,23,Inf,234.5,1869.24,8,5,Inf
19115,393603.0362,426006.7784,0,Inf,215.8181818,1120.2,8,5,Inf
19117,222853.6888,398651.3469,0,Inf,229.4285714,1124.04,8,5,Inf
19119,-18132.82017,658425.3758,0,Inf,246.9230769,1578.7,7,4,Inf
19121,164822.0384,431185.5331,0,Inf,225.8333333,1468.67,8,5,Inf
19123,278918.3835,434651.8172,0,Inf,220.5555556,1485.42,9,6,Inf
19125,240866.1631,433319.8751,0,Inf,213,1478.21,8,5,Inf
19127,246705.9465,512031.3866,0,Inf,234.3333333,1482.73,7,4,Inf
19129,31847.83792,395881.6569,1,Inf,228.7142857,1125.76,8,5,Inf
19131,258993.1269,660112.2148,4,Inf,243.8888889,1216.6,7,4,Inf
19133,2589.522411,509718.0888,0,Inf,236.8461538,1877.38,8,5,Inf
19135,261099.4855,399853.4963,0,Inf,219,1122.95,8,5,Inf
19137,70388.84394,395887.8102,0,Inf,224.8333333,1097.9,8,5,Inf
19139,402933.3379,456268.4947,2,Inf,212.4,1071.91,8,5,Inf
19141,30381.31523,625263.9777,0,Inf,239.6666667,1483.49,7,4,Inf
19143,30296.70411,658237.1854,0,Inf,246.5833333,1040.1,7,4,Inf
19145,71141.76351,363308.5893,0,Inf,227.1111111,1391.09,8,5,Inf
19147,107045.2052,625822.0743,0,Inf,235,1474.58,7,4,Inf
19149,-16786.86326,586604.5303,0,Inf,239.7692308,2187.8,7,4,Inf
19151,107549.8567,586970.9761,0,Inf,233.6666667,1498.64,7,4,Inf
19153,200749.1441,471272.8999,1,Inf,219.7777778,1566.69,8,5,Inf
19155,37681.67068,429853.47,0,Inf,223.35,2516.78,8,5,Inf
19157,286713.8077,474284.4423,0,Inf,235.6363636,1514.67,8,5,Inf
19159,147087.9535,363910.6637,0,Inf,221.3333333,1395.21,8,5,Inf
19161,73175.86821,547653.6532,0,Inf,234.2307692,1499.09,8,5,Inf
19163,443423.7373,475508.1615,5,Inf,215.4,1344.7,9,5,Inf
19165,57003.05605,469085.806,0,Inf,234.8888889,1532.44,8,5,Inf
19167,-14050.44481,625316.1156,0,Inf,243.2142857,1968.53,7,4,Inf
19169,208412.7648,510953.5627,0,Inf,230,1484.52,8,5,Inf
19171,285566.0929,517175.8676,1,Inf,235.1176471,1777.5,8,5,Inf
19173,109204.1211,363561.0754,0,Inf,227.3333333,1385.47,8,5,Inf
19175,146594.9697,396667.3252,0,Inf,226.25,1102.89,8,5,Inf
19177,339171.9767,371595.8121,1,8,217,1287.74,9,6,9
19179,299399.179,401294.7798,0,Inf,216.4444444,1128.19,9,6,Inf
19181,202542.2278,431937.6768,0,Inf,220.4375,1462.08,8,5,Inf
19183,355584.435,437835.5363,0,Inf,223.6363636,1482.04,8,5,Inf
19185,223787.7262,366219.1992,0,Inf,210.4444444,1365.64,8,5,Inf
19187,148656.7218,553387.9267,1,Inf,232.8125,1861.26,8,5,Inf
19189,182719.3426,660255.3133,0,Inf,232.6666667,1040.15,7,4,Inf
19191,335507.0781,655716.1932,24,Inf,246.3846154,1786.34,7,4,Inf
19193,-3181.343657,547648.3258,0,Inf,234.85,2238.43,8,5,Inf
19195,220868.9929,661267.0834,0,Inf,238.6666667,1039.7,7,4,Inf
